Unnamed: 0,overall,reviewText
59,1,great deal much faster file movementdefinitely worth purchase sandisk proved good products
60,1,youll pay anywhere else initially leery buying another sd card amazon years ago card fake said gigs plugged computer could load onto would say full apparently theres way fool computer thinking theres space fakecounterfeit cards donot one real deal genuine sandisk contains many gb says im pleased customer
61,1,use samsung galaxy almost year problems really expands memory capabilities easy enough install
62,1,gb storage new asus tablet whats love cant imagine paying model upgraded storage especially since usually like thing cheap works great
63,1,excellent quality excellent speed complaints easy use reliable red stripe front makes easy find crowded desk
64,0,card advertises uhs actually uhsthis means go sdr speedsthroughputnot necessary bad false advertising
65,1,purchase hp tablet memory music download pictures video enough room store memory left
66,1,anything wrong sandisk product items read sooooo quickly quite happy
67,1,lot people want big memory fine need look speed class one class great taking pictures video freeze move mbs fast enough lesser speed cards freeze say waiting camera miss moment also sandisk name trust come memory cards
68,1,fast transfer rates downloaded gb videos form card laptop card reader minute
69,1,something said sandisk plug works ive never one doa memory issues throughout years camera storage products installed galaxy siii recognized right away able dump music onto speed seems great well complaints
70,1,praise extra memory fills mp player every song heart desires sound quality perfect ease use superb great
71,1,though states gig gig available know happens expected keep mind wanting storage might want order gig card exactly expected needed complaints
72,1,job advertisedif need extra memory phonetablet whatever device bext buypricequality
73,1,needed cell phone works perfectly sandisk never disappointment plus years ive itcomputer work
74,1,priced right memory card also reads writes fast noticeable difference cheaper cards put phone plan buy another one tablet
75,1,works great sprint htc evo g lte formatted w fat course maximum file size gb meaning full length hidef movies however isnt problem bought card putting music library phonelike class microsdhc cards mbs closer class card ive ever tried mbs kingston gb mbs card mbscant wait till gb gb cards become available affordable
76,1,update gb card stopped allowing writes via cardreaders windows pceither inside several fullsize sd card adapters writeprotect tab either position plugged directly microsd slot reader microsd cards writeprotect tab quite surprised worried failing find workable solution searching online finally put chromebook created new folder stuck back windows pc longer gave writeprotect error anyone similar problem id recommend something similar putting pc laptop camera etc available try writing therethis portion review necessarily written update original review gb version card since amazon disallows multiple reviews consider item portion concerns gb version cardi dont need fast card speeds card important besides test pc exactly highend therefore didnt count speed results got using usb card adapter thought might relevant readers card reach class andor uhsi requirements came claimed read speeds mbs fast file transfer running second pc using different usb card reader none speeds even hit mbs seems highly systemdependenti got card week far works select sdxccompatible devices exfatcompatible operating systems sdxccompatible devices panasonic hdctm allow cards larger gb whatever reason stated manual ive confirmed card recognized brokencorruptunusable device whereas gb exfat cards work fine gb works fine original exfat formatting toshiba excite android tablet predictably nonsdxccompatible galaxy note though possibly would reformatted fat since gb card fat works fine thereill update review reflect problems issues etc notice coming days weekscrystaldiskmark c hiyohiyocrystal dew world url removed per amazon rules mbs bytes sata bytessequential read mbssequential write mbsrandom read kb mbsrandom write kb mbsrandom read kb qd mbs iopsrandom write kb qd mbs iopsrandom read kb qd mbs iopsrandom write kb qd mbs iopstest mb g gb xdate os windows xp professional sp build xthe following original review gb version card published april highquality card ive used variety devices multiple readers different pcs hd camcorder using micro fullsized sd adapter ive never problem even works full capacity microsdhconly devices reformatted fat sandisk clip flac player supposedly even psps via proper adapter though havent yet tested psp keep anticipating someone coming card equal better capacity speeds comparable price havent seen one yet cheaper id several nowmake sure device handle micro fullsized sdxc cards one rare gems state support high sdhc tested work sdxc cards one theyve manually reformatted fat
77,1,works great phone wife loves got second mom storing lots pictures videos
78,1,loaded card home movies samsung galaxy tab copy process computer card fast skips movie quality plenty room left go wish bought another collections
79,1,bought loaded seasons futurama full length hd movies several documentaries dozen minute comedy shows plenty room left pictures etconly slight nitpick booting recovery mode recognize card wanted update phone latest version android would see resort gb microsd laying around wasnt sd card issue thought would throw
80,1,purchased wife bought samsung galaxy store music pictures videos camera capable capturing megapixels photos gb microsd suffice matter fact ive already exhausted remaining space card gb allow take photos son
81,1,great storage failed yet year usage
82,1,since wife using causing problems must functioning normally looks good far
83,1,class speeds way fly gb usable space think good
84,1,subject says supposed great price sale buy
85,1,lot questions memory card fitting samsung galaxy tab tablet fits works problem thing installing instead showing gb available shows gbtried formatting card resultshave idea limit set galaxy tab tablet normal buy gb get less thatas surely problem coming sandisk memory card rating star excellent price works great quick delivery
86,1,comes kind flash storage sandisk always go brand sell quality items stand theres problem usual complaints works descried havent issues read write speeds right specs say
87,1,high speed high capacity storage great durability use phone digital camera work good
88,1,memory helps keep want keep cell phoneit good brand right price
89,1,bought sd card android phone thinking class faster reliable others turns difference class doesnt really matter least android phones didnt really worth price difference
90,1,sandisk gb micro sd class reliable sd card amazing transfer speeds noticeable lag transfering even largest raw images hadnt problem
91,1,good card work describes havent issue going pass metal detectors lost files missing files
92,1,bought store music phone works flawlessly three months far problemsin card reader average megabytes read write
93,1,im amazed ordered amazon tuesday morning arrived wednesdays mail impressive service amazonas already reported card formats gb performs perfectly samsung galaxy iii also new using two card readers fast pc transferred everything old gb card new gb card less time took walk kitchen get cup coffee think class rating correct cardonce experience card phone ill benchmark card ill also benchmark operations internally backing android phone card ill update review accurate numerical data mean time first look person said problems anything faster class may correct full backup phone card significantly faster backup old gb class card benchmarks yet ill include hereright im happy card im really impressed card unbelievably quick service amazon im atlanta shipments like one often take full days arrive
94,1,excellent one best cant go wrong card class necessary shows noticeable significant improvements class
95,1,bought gb microsd card best buy needed one microsoft surface pro provides space need people need lot space videos quick books picture editing games etc card one dont need much space consider buying one cheaper little less memorynote aware microsdxc format card new computers support format many older computers includes tablets smartphones buying make sure computer tablet smartphone compatible work period others claim card doesnt work matter try chances machine cannot support microsdxc format
96,1,got couldnt pass deal incredibly fast htc sensation g pictures taken saved instantaneously days happy shipping fast packaging easy open always great book issue format computer first phone able recognize
97,1,get lot storage small price micro sd adapter class fast happy purchase hope review helpful
98,1,ultra micro sdhc fine got working neither packaging sansa clip player inform user player needs totally microcard inserted unit read card otherwise love storage even gb let alone tremendous
99,1,upgraded price dropped originally gig sandisk card mytouch g found toward mytouch gs end life space running low got galaxy bought card works flawlessly highly recommend errors ever super fast transfer rate
100,1,item priced right fit right cell phone without issues suppose dont know else could say class suppose plenty fast cell phone use sure speeds camera use degree worked well shipping fast
101,1,got memory card samsung galaxy running room sandisk gb class micro sd card also wanted faster durable card hopping put lots media addition nandroid backups custom roms later found since card formatted exfat would work make nandroid backups flash custom roms custom recovery custom roms dont work exfat choice format card fat meant couldnt put files larger gb besides card great reasonable price one doesnt root phone put custom roms nandroid backups put files larger gb affect memory card fast provides storage put mobile device time card also water proof shock proof comes lifetime warranty ive never issues sandisk memory cards usb flash drives last really long time
102,1,using included adaptor macbook pro transfer files impressed speed card
103,1,got store movies music samsung note iiinot much say memory card except works expected
104,1,purchased version expand memory gb android tablet nothing fancy job problems played back flawlessly files transferredthere many different microsd cards see sale might want consider instead cheaper noname brand
105,1,ive ordered sd cards one best overall shipping excellent fast reliable would recommend anyone looking quality product thanks
106,1,use phone works totally worth money great place store pictures music phones instead using phone memory still run fast
107,1,bought two one asus infinity one samsung galaxy international version worked fine asus didnt work phone formatted card using phonethe tablet laptop didnt work tests apps using apps nothing showed working way got work formatting canon slr camera
108,0,works actual rw speeds mbs even class marketed sandisk basic sandisk ultra unless mean ultra slow excuse slow card sandisk update redone test notepro instead using non uhsi pc latest results mbs since read speed hits believe device dhsi ready still underwhelmed write speed though
109,1,sandisk ultra gb microsdhc cuhs memory card adaptersandisk ultra gb microsdhc cuhs memory card adapterworks fine
110,1,great adding ton storage smartphone device fast enough needs price right
111,1,cant possibly go wrong san disc product although purchased son used san disc past never disappointed
112,0,job fairly cheap worth return first one exchange another first one defective sandisk really needs better quality assurance products second one works perfectly fine use gopro camera
113,1,bought sons tablet cartoon videos movies games downloading hes yrs theyll small simple games
114,1,bought friend mine put videos initially plugged computer couldnt find storage directory however finding micro sd usb adapterbingo worked like charm install videos plugged card phone racesnot sure needed adapter couldnt get computer recognize also used linux os go figure
115,1,sandisk ultra gb micro card great addition maximize samsung galaxy iiis whatever version got gb gb fast memory great price plenty space pictures videos android applications good videos galaxy iiis use super fast got advanced smartphone market memory get right price
116,1,installed samsung tablet tab definitely performance difference tablet especially load apps
117,1,memory works samsung smartphones fast memorysandisk reliable memories market
118,1,love good quality good performance great brand could find better product money using samsung galaxy mini zero complications
119,1,product arrived two days prime exactly ordered works great galaxy know class exactly needed cell phone cannot hurt right im happy purchase
120,1,expanded samsung tab tablet gb gb works fast dont see lags store ten movies tab play right flash disc problemsvery happy card
121,1,update providing update regard sandisk supporti bought memory card aug see original review may cruise alaska card went bad sailing san francisco fine used take panorama shot golden gate bridge cruise using dslr next time wanted use cell phone phone told memory card loaded way tested card laptop got back couldnt recognize contacted sandisk via email provide copy receipt amazon along serial number back card hard read problems told send back card sent brand new card still functioning cell phone great support provide sandisk hassle long provide proof purchase easy since amazon keeps entire purchase historyinvoices online one reason buy directly amazon vs vendors either amazon elsewhere internet confidence memory cards sold amazon genuine may incredible deals elsewhere internet cases deals good true counterfeit cards soldoriginal reviewjust received today removed packaging inserted samsung galaxy verizon powered unit back storage available formatting required worked first time settings showed gb total space gb version gb free space like fact sd adapter came ever need insert card laptop come handy yes plug phone directly laptop ever swap gb card phone replace gb version use gb version via adapter purposes
122,0,still dont feel fast phone guess need remove run rw tests still ok
123,0,bought gb version card use gopro hero black edition didnt work card worked ok camera set resolution lower bit rates eg worked fine p protune p protune however p protune bitrate shy mbs mode much higher protune turned nothing trouble camera would sometime work sometime randomly stop recording obvious reason first suspected camera testing different sd cards ended sandisks card fault spare card old cheap gb pny also class worked fine conditions camera settingsonce obvious problem card found people gopros forums trouble specific card well well always find figure right anyhow speed tests card simple write gb file full zeros using unix dd utility copy gb zeros devzero else would find many zeros onto file card result average sandisks card would manage mbs barely bar class card however average gb write test speed oscillating many spikes drops drops low mbs uh thought write speed class card never dip mbs comparison old cheap class pny card chugging along constant mbs test spikes drops speedthe card probably work fine devices bitrates recording p video often low enough andor camera might huge buffer want use record video high bitrates device doesnt huge buffer compensate speed bumps card may run trouble wary using hero modes higher bit rates eg p protune enabledsandisks website lists part numbers sdsdquig adapter sdsdquag without adapter conflicts product description amazon likely amazon getting product description right bit common thing interesting noteupdate apr numbers testing card test extremely simple write gb zeros onto card using standard unix dd command read kb blocks zeroes special device devzero write onto card kb gb dd displays transfer stats finishes dd running run iostat second terminal displaying second interval stats measure current speed done mac dd command line used asis repeat test linux system however iostat command different linux would need modified slightly choose kb block size seems device drivers merges sequential writes anyhow using different block sizes results comparable dd ifdevzero oftest bs count records records bytes transferred secs bytessecso mbs good right wrong iostat running parallel dd command recorded iostat w diskdiskkbt tps mbs dd finishes writing gb zeros card imo last column never dip mbs card labeled classfor comparison test run samsung pro gb microsd card dd ifdevzero oftest bs count records records bytes transferred secs bytessec iostat w diskdiskkbt tps mbs dd finishes writing gb zeros card samsung average x faster importantly speed much constant critically important never dips mbs
124,1,else say sandisk ultra gb micro sd xc perfect sandisk cards
126,1,husband bought gopro used record vacation mexico still half space left
127,1,item ive using months records hd videos gopro hero without problems
128,1,third purchase theyve working fine far installed smart phone cameras even used portable storage device noticed issues good product
129,1,love little guy super fast lot space storage plug enjoy
130,1,bought gopro hero camera silver editionworking without problems fastwas pleasantly surprised good quality memory card adapter turn laptop directly
131,1,great addition smart phone huge capacity store data also pretty fast record video lag recording
132,1,micro sd card well made great read write speeds added gray amount memory samsung galaxy really recommend
133,1,bought item use gopro hero sell gopro website lot cheaper amazon yet problems card
134,1,works perfectly fair price immediately recognized device use good purchase
135,1,needs little formatting yet see sandisk fail dont cut corners almost every brand sd cards fail except tried numerous brands devicesjust remember takes bit devices buffer information sd card static corrupt sd card usually easily fixed formatting always back documents pcmac soon possibleoh create playlists slideshows etc devices remove sd card device smart enough recompile put sd card back end blank playlists even though songs watch outlastly sd card doesnt work whatever reason google sd card formatting help gb versions dont seem formatting issues like gb ones even formatting fat fixes
136,1,sandisk company trust offering good product low pricecomes adapter small case get full sd card size keep getting lost use
137,1,appears class holds much says came sd card adapter even gave option forgo ridiculous plastic packages know hate ones scissors refuse cut end hurting times getting open completely advertised
138,1,bought card gopro hero worked fine people said problems cards new gopros problems micro card works anything also takes standard cards due included adapter
139,1,always good experiences sandisk products priced well installed wifes cell phone immediately recognized quite sure features chip supposed amount memory good deal extra features
140,1,comes nice little adapter microsdhc use normal size sd card also pretty neatconsidering price gb pretty reasonable class fast hd p video recording dslr camerai bought use gopro taking picture videos working great didnt give anycorrupted files videos pictures yet working pretty good sandisk pretty reliable brand wont able go wrong
141,1,great value plenty storage phone tablet looked around really good deal
142,1,shipped fast worked really well use case take lot photos loads fast
143,0,old sandisk sd card still works thought new cards would reliable wrongthe microsd card failed yesterday inside phone used adapter connect computer wouldnt mounti bought directly amazon third party vendor know genuine sandisk
144,1,best price anywhere
145,1,bought memory card samsung note amis really happy recommending product pleased
146,1,shipping fast product great quality great pricingi like manufacture going order deviceslots space
147,1,far good bought samsung micro sd card bestbuy somehow erasedeverything second one hopefully keeps stuff
148,1,still gb left came hard case fore protection
149,1,im using sd card samsung galaxy instead another one bought manufacture sandisk gb mobile microsdhc flash memory card sdsdqgaffp working perfectly since october
150,0,used galaxy note past months sudden longer writable tried many ways reformat card even windows says format successful files remain remove reinsert card since private files card im able delete want sent back sandisk replacement
151,1,usual sandisk quality worked expected delivered time problems worked great android samsung tablet
152,1,put lumix camera works fast great complaints never issues highly recommended brand always comes
153,1,great product enough capacity delivers performance happy product samsung galaxy phone
154,1,got cant beat price sandisk far always reliable two gb uhs cards older gb gb class class etc sandisk microsds including standard sds usb thumb drives stood tests one card think failing still able recover data write anymore im pretty hard rewritable media say
155,1,great memory card using along roku works great fast transfer rate good capacity reasonable price else could ask
156,1,cannot go wrong sandisk date works advertised price wasnt great cost savings came amazon great reputation date far concerned purchased
157,1,awesome card glad able use dslr
158,1,great storage size first adopter came thought sale price excellent got duped price since first introduced great action cam battery ran ran memory
159,1,problem storage speed difficulties insert card kingston reader believ due sticker covering something one sides microsd kind problem reader
160,1,replaced one crapped tablet taking apps hours time
161,1,bought gift hubby seems quite well happy hasnt given issues certainly uses lot informationmedia smartphone since techie lol
162,1,exactly needed galaxy word warningwith kitkat prevents apps editing changing deleting anything sd card stock apps come phone downloaded ones able trick pics movies whatever copy phones internal storage delete fix come non root work around operating system
163,0,worked great galaxy suntil didnt work unknown reason used months crapped back data things though
164,1,use cameras traveling gb take bunch accessories also use cell phones
165,1,enough storage dslrreally low price class cardu use several make linux based ssd
166,1,handy gb good size even though many devices claim support gb card many actually support g cardi like sandisk brand always trust saying dont lemonbut happened everything
167,1,bought raspberry pi large enough run full lamp server price speed good bargain
168,1,good thanks sandiskyou must gopro cam get benefit cam yap
169,1,use raspberry pi sd adapter works faralso appeared genuine part although prolific sandisk counterfeiters gotten really sneaky recent yearsi like getting microsdhc cards adapted different device sizes example lets say buy used phone ereader needs memory card im using pi take pis card take adapter put device rather pay money wait week delivery new one
170,1,popped moved apps card works great video handled quickly apps start fast
171,1,great buy work fine use everyday cell phone adapter great moving files computer cell phone buy opportunity presents
172,1,oh waited thisworks samsung galaxyworks note samsungexcellent transfer rates close rated speeds mbs achievedusing make music collection truly portable nice carry devices anymorehope review helps
173,1,micro sd card perfect smartphone user looking expand storage device personally using one samsung galaxy note works like charm adequately fast cheap fairly reliable looking extremely fast speeds however consider sandisk extreme series fastest microsd cards world card came adapter card plugs becomes full sized sd card looking use camera device uses sd cards please look elsewhere cards nearly fast full sized sd cards used cameras adapter used transporting data phone device computer great buy smartphone user looking higher storage capacity price fluctuates often catch em cheep got mine around
174,0,bought august april card stopped functioning still read writing capability gone thats less one year im extremely disappointed longevity card usage galaxy gb data guess im going look another card longer lifespan one
175,1,would get anything less gb instantaneous movies video music pictures android phone thats capable accepting micro sd cards go ahead get one two
176,1,originally bought offbrand card new gs price seemed good day took lot picturesthey mysteriously vanished since ive good experiences sandisk past immediately found card happy sale time bought ive absolutely problems expect continue working long time knock woodbottom linethis quality product dont buy cards without respectable brand name
177,0,routinely use sdxc cards gb card unreadable arrival pcs said needed formatted last resort let one try windows iwith uptodate sdxc drivers could format way back amazon im glad returns easy
178,1,always good else say
179,1,works expected based price performance may best breed product found sandisk brand dependable
180,1,memory card fast class card sandisk units rarely lose data wish guys would keep marketing backside leaving white space top could write things cheapobrands big guys idiots
181,0,product large disappointmentbought use tablet card forever getting corruptedive reformatted card times point even reformat doesnt work wasted moneydont recommend purchasing
182,1,first card ordered bad tablet computer wouldnt write wouldnt read amazon replaced immediately new card perfect reads writes fast much faster hc phone im glad got hc tablet
183,1,purchased could get work discovered sandisk app stressing working android device worries go get app work
184,1,usual anything san dish quality product bought use surface pro works described fast connection
185,1,purchased happy good transfer rates found last sd card caused camera phone delay taking shots one allows phone take pics quickly
186,1,bought wifes samsung tl kept locking lesser speed sd card throwing card camera rarely locks taking pictures backtoback shooting mp taking pictures backtoback shooting hd vid good idea upgrade class card
187,1,samsung galaxy note came gigs internal memory discovered apps written internal gigs memory didnt want fill internal memory pictures videos music etc purchased gb san disk ultra microsdxc class card found video youtube learn insert card since could find nothing phones user guide real easy turn note phone remove notes back plate see plaque saying sd card upper left quadrant phone simply place microsd card face metallic pins facing towards right depressed slot area left sd card plaque slowly gently slide microsd card plaque clicks isnt correctly tend move back plaque force replace back plate phone turn phone go settings storage bottom page see sd card microsd card inserted correctly see additional gbs storage displayed also see reformat sd card remove sd card use settings erase data microsd card remove phone try remove microsd card phone without first activating remove sd card setting damage card phone card came quickly san disk reliable brand great class rating
188,1,gbdelivered fast installed quick works like reasonable price wish could get memory note much media
189,1,absolutely great product recommend great price used note note phone download lot music movies must
190,1,fast memory card room spare amazing price suitable lots smart phone movies fastest storage available today imho
191,1,arrived quickly perfect condition works well camera using standard size adapter readable note seems quick enough canon g would recommend
192,1,big card lot faster card came phone allows switch video take pics faster going get cloud storage program think getting couple big cards instead makes downloading accessing chunks data lot easier
193,1,bought memory smartphone far supposed remember save
194,1,bought one gs phone bought wife got one seem work seamlesslyperhaps kill us cheaper per gig smaller gig chips
195,1,bought samsung note ed give plenty data storage using note quick picture editing
196,1,bought new samsung galaxy worked right away troubles time tell
197,1,bought memory card spare samsung tab works great allows bring extra movies songs audiobooks play tablet travel vacations
198,1,bought add storage sansa fuze mp playerthe card formatted correctly works quite smoothly devicei also tried using adapter kodak digital camera recognized instantly pictures saved quickly allowing camera shoot without undue delay
199,1,bought use inch onda tablet problems issues installing using three months would recommend others
200,1,cant go wrong class card cheap works great may buy another one spare
201,1,fast reliable plenty size money ran sandisk memory zone reading mbps quite supposedly rated lot apps installed running device
202,1,good memory card gift given junior partner receiving beautiful beautiful packaging received big surprise know evaluate
203,1,good value money class ten rated card fast speed good manufacturer
204,1,got note great able pop computer via adapter load large amounts pictures back tablet kinda wishing got larger capacity one
205,1,got galxy another brand phone kept losing contact corrupted files much faster transfers got gb version note always superfast shipping amazon prime
206,1,great micro sd card smartphones products wanted something high transfer rate taking hd video would lag
207,1,great price gb sd card delivered time got download previous sc card problems great shopping electronic stuff amazon
208,1,great price great chip worked perfectly new smart phone swapped gig chip one lots excess storage capacity
209,1,great value extra storage cell phones adapter included memory disk allows easy interface standard computer card reader interfaces
210,0,return item would fit properly adapter came return problem reluctant buy another one
211,1,havent able use capacity bought tablet pro used usb adapter works well
212,1,action cam works great far cant wait zip line tour expensive would think size memory card
213,0,used sandisk photography course went time outfit new samsung galaxy internal microsd card spent extra bucks comparably name micro sd cards bought variant took quite pictures even transferred album computer coud show friends goafter less two months sandisk microsd card started acting recognized stopped restarted removed reinstalled onto phone erratic behavior taken immediately tried recover anything could things hit fanunfortunately waited long morning reason turned phone card shows blank neither windows pc mac even detect card yes tried two different adapters tried sandisk recovery found recoverable files even though checked file type extensionsive apparently lost pictures top gfs cheap name card never issue exact phone keeps chugging along merrilypaying premium substandard product fails use two months thanks im going back lexar hasnt failed yet im also getting rid sandisk cards dslrs case fact sandisk first card thats ever failed new card boot inspire confidence buy use risk
214,0,disappointed card usually dont issue sandisk gb ultra card died two months died longer recognizable pc camera device wrestle warranty claim
215,1,bought great price capacity rated speed use storage nook hd
216,0,bought card android based phone soon started getting messages card removed damaged tried tablet thing first card brand bought experienced problem went several online forums see solution someone hit upon might problem brand cardsi bought pny brand micro sd card problem whatsoever
217,0,bought card strength gb xdsc sandisk phone right gift friend mine sadly corrupted within minutes first useinitially worked fine dead checked laptop windows disk management screen told single k partition rest unusable outstandingthe replacement sent amazon thank amazon always excellent sitting office right probably check
218,1,bought samsung galaxy expand memory best money could spent issues works fast shipping great packaging worth every penny
219,1,bought expand memory galaxy inexpensive easily install comes adapter make full sized sd card sandisk ultra top list
220,1,issue using devices still working strong trust sandisk gear including memory dslr use malfunctioned throughout many different uses trust brand although expensive supposed brands worth extra opinion
221,1,lot music pictures keeping card frees storage apps cannot use card money well spent
222,1,always trusted sandisk brand valuable data ordered tablet great size quality price
223,1,samsung note ii verge uninstall programs newest version android came allowed move applications external storageafter reading reviews purchased card replace g card room pictures videos tons apps performance really great tell pictures videos apps load quickly issues alla must extend android storage
224,1,droid x page plus works perfectly transfer speeds good complaints
